seriename,date,value
DEU,1.9.1999,0.02899
DEU,1.12.1999,0.02075
DEU,1.3.2000,0.00993
DEU,1.6.2000,-0.00324
DEU,1.9.2000,-0.01822
DEU,1.12.2000,-0.03433
DEU,1.3.2001,-0.05043
DEU,1.6.2001,-0.06496
DEU,1.9.2001,-0.07639
DEU,1.12.2001,-0.08347
DEU,1.3.2002,-0.08555
DEU,1.6.2002,-0.08258
DEU,1.9.2002,-0.07488
DEU,1.12.2002,-0.06298
DEU,1.3.2003,-0.04788
DEU,1.6.2003,-0.03099
DEU,1.9.2003,-0.01377
DEU,1.12.2003,0.00259
DEU,1.3.2004,0.0174
DEU,1.6.2004,0.03047
DEU,1.9.2004,0.04167
DEU,1.12.2004,0.05084
DEU,1.3.2005,0.05789
DEU,1.6.2005,0.06277
DEU,1.9.2005,0.06537
DEU,1.12.2005,0.06552
DEU,1.3.2006,0.06285
DEU,1.6.2006,0.05687
DEU,1.9.2006,0.04733
DEU,1.12.2006,0.03441
DEU,1.3.2007,0.01876
DEU,1.6.2007,0.00163
DEU,1.9.2007,-0.01537
DEU,1.12.2007,-0.0307
DEU,1.3.2008,-0.04302
DEU,1.6.2008,-0.05118
DEU,1.9.2008,-0.05446
DEU,1.12.2008,-0.05263
DEU,1.3.2009,-0.04614
DEU,1.6.2009,-0.03636
DEU,1.9.2009,-0.02516
DEU,1.12.2009,-0.01427
DEU,1.3.2010,-0.00495
DEU,1.6.2010,0.00209
DEU,1.9.2010,0.00647
DEU,1.12.2010,0.00805
DEU,1.3.2011,0.00718
DEU,1.6.2011,0.00481
DEU,1.9.2011,0.00235
DEU,1.12.2011,0.00099
DEU,1.3.2012,0.00128
DEU,1.6.2012,0.00307
DEU,1.9.2012,0.00602
DEU,1.12.2012,0.00969
DEU,1.3.2013,0.01361
DEU,1.6.2013,0.01715
DEU,1.9.2013,0.0194
DEU,1.12.2013,0.01961
DEU,1.3.2014,0.01766
DEU,1.6.2014,0.01402
DEU,1.9.2014,0.00935
DEU,1.12.2014,0.00434
DEU,1.3.2015,-0.00053
DEU,1.6.2015,-0.0049
DEU,1.9.2015,-0.00822
DEU,1.12.2015,-0.01006
DEU,1.3.2016,-0.01036
DEU,1.6.2016,-0.0094
DEU,1.9.2016,-0.00769
DEU,1.12.2016,-0.00566
DEU,1.3.2017,-0.00354
DEU,1.6.2017,-0.00145
DEU,1.9.2017,0.00038
DEU,1.12.2017,0.00174
DEU,1.3.2018,0.00256
DEU,1.6.2018,0.0029
DNK,1.12.1983,0.00956
DNK,1.3.1984,0.01178
