seriename,date,value
DEU,1.9.1976,0.013
DEU,1.12.1976,0.013
DEU,1.3.1977,0.013
DEU,1.6.1977,0.013
DEU,1.9.1977,0.013
DEU,1.12.1977,0.012
DEU,1.3.1978,0.011
DEU,1.6.1978,0.009
DEU,1.9.1978,0.006
DEU,1.12.1978,0.003
DEU,1.3.1979,-0.001
DEU,1.6.1979,-0.006
DEU,1.9.1979,-0.011
DEU,1.12.1979,-0.015
DEU,1.3.1980,-0.019
DEU,1.6.1980,-0.022
DEU,1.9.1980,-0.024
DEU,1.12.1980,-0.025
DEU,1.3.1981,-0.024
DEU,1.6.1981,-0.023
DEU,1.9.1981,-0.02
DEU,1.12.1981,-0.017
DEU,1.3.1982,-0.013
DEU,1.6.1982,-0.01
DEU,1.9.1982,-0.006
DEU,1.12.1982,-0.001
DEU,1.3.1983,0.004
DEU,1.6.1983,0.009
DEU,1.9.1983,0.015
DEU,1.12.1983,0.021
DEU,1.3.1984,0.029
DEU,1.6.1984,0.036
DEU,1.9.1984,0.043
DEU,1.12.1984,0.048
DEU,1.3.1985,0.051
DEU,1.6.1985,0.05
DEU,1.9.1985,0.045
DEU,1.12.1985,0.036
DEU,1.3.1986,0.023
DEU,1.6.1986,0.007
DEU,1.9.1986,-0.01
DEU,1.12.1986,-0.026
DEU,1.3.1987,-0.04
DEU,1.6.1987,-0.049
DEU,1.9.1987,-0.052
DEU,1.12.1987,-0.05
DEU,1.3.1988,-0.042
DEU,1.6.1988,-0.029
DEU,1.9.1988,-0.014
DEU,1.12.1988,0.001
DEU,1.3.1989,0.014
DEU,1.6.1989,0.024
DEU,1.9.1989,0.03
DEU,1.12.1989,0.03
DEU,1.3.1990,0.026
DEU,1.6.1990,0.017
DEU,1.9.1990,0.005
DEU,1.12.1990,-0.007
DEU,1.3.1991,-0.018
DEU,1.6.1991,-0.027
DEU,1.9.1991,-0.033
DEU,1.12.1991,-0.035
DEU,1.3.1992,-0.033
DEU,1.6.1992,-0.028
DEU,1.9.1992,-0.022
DEU,1.12.1992,-0.015
DEU,1.3.1993,-0.008
DEU,1.6.1993,-0.003
DEU,1.9.1993,0
DEU,1.12.1993,0.001
DEU,1.3.1994,-0.001
DEU,1.6.1994,-0.003
DEU,1.9.1994,-0.006
DEU,1.12.1994,-0.009
DEU,1.3.1995,-0.01
DEU,1.6.1995,-0.009
DEU,1.9.1995,-0.005
DEU,1.12.1995,0
DEU,1.3.1996,0.007
DEU,1.6.1996,0.015
DEU,1.9.1996,0.023
DEU,1.12.1996,0.031
DEU,1.3.1997,0.037
DEU,1.6.1997,0.042
DEU,1.9.1997,0.045
DEU,1.12.1997,0.046
DEU,1.3.1998,0.046
DEU,1.6.1998,0.046
DEU,1.9.1998,0.044
DEU,1.12.1998,0.042
DEU,1.3.1999,0.039
DEU,1.6.1999,0.035
DEU,1.9.1999,0.029
DEU,1.12.1999,0.021
DEU,1.3.2000,0.01
DEU,1.6.2000,-0.003
DEU,1.9.2000,-0.018
DEU,1.12.2000,-0.034
DEU,1.3.2001,-0.05
DEU,1.6.2001,-0.065
DEU,1.9.2001,-0.076
DEU,1.12.2001,-0.083
DEU,1.3.2002,-0.085
DEU,1.6.2002,-0.083
DEU,1.9.2002,-0.075
DEU,1.12.2002,-0.063
DEU,1.3.2003,-0.048
DEU,1.6.2003,-0.031
DEU,1.9.2003,-0.014
DEU,1.12.2003,0.003
DEU,1.3.2004,0.017
DEU,1.6.2004,0.03
DEU,1.9.2004,0.042
DEU,1.12.2004,0.051
DEU,1.3.2005,0.058
DEU,1.6.2005,0.062
DEU,1.9.2005,0.065
DEU,1.12.2005,0.065
DEU,1.3.2006,0.062
DEU,1.6.2006,0.056
DEU,1.9.2006,0.047
DEU,1.12.2006,0.034
DEU,1.3.2007,0.018
DEU,1.6.2007,0.001
DEU,1.9.2007,-0.016
DEU,1.12.2007,-0.031
DEU,1.3.2008,-0.044
DEU,1.6.2008,-0.052
DEU,1.9.2008,-0.055
DEU,1.12.2008,-0.053
DEU,1.3.2009,-0.047
DEU,1.6.2009,-0.037
DEU,1.9.2009,-0.026
DEU,1.12.2009,-0.015
DEU,1.3.2010,-0.005
DEU,1.6.2010,0.002
DEU,1.9.2010,0.006
DEU,1.12.2010,0.008
DEU,1.3.2011,0.007
DEU,1.6.2011,0.005
DEU,1.9.2011,0.002
DEU,1.12.2011,0.001
DEU,1.3.2012,0.001
DEU,1.6.2012,0.003
DEU,1.9.2012,0.006
DEU,1.12.2012,0.01
DEU,1.3.2013,0.014
DEU,1.6.2013,0.018
DEU,1.9.2013,0.021
DEU,1.12.2013,0.022
DEU,1.3.2014,0.021
DEU,1.6.2014,0.018
DEU,1.9.2014,0.014
DEU,1.12.2014,0.009
DEU,1.3.2015,0.004
DEU,1.6.2015,-0.001
DEU,1.9.2015,-0.006
DEU,1.12.2015,-0.009
DEU,1.3.2016,-0.012
DEU,1.6.2016,-0.014
DEU,1.9.2016,-0.015
DEU,1.12.2016,-0.016
DNK,1.12.1983,0.009
DNK,1.3.1984,0.011
DNK,1.6.1984,0.015
DNK,1.9.1984,0.02
DNK,1.12.1984,0.024
DNK,1.3.1985,0.026
DNK,1.6.1985,0.026
DNK,1.9.1985,0.022
DNK,1.12.1985,0.016
DNK,1.3.1986,0.007
DNK,1.6.1986,-0.003
DNK,1.9.1986,-0.012
DNK,1.12.1986,-0.019
DNK,1.3.1987,-0.024
DNK,1.6.1987,-0.024
DNK,1.9.1987,-0.021
DNK,1.12.1987,-0.014
DNK,1.3.1988,-0.004
DNK,1.6.1988,0.007
DNK,1.9.1988,0.017
DNK,1.12.1988,0.025
DNK,1.3.1989,0.03
DNK,1.6.1989,0.03
DNK,1.9.1989,0.027
DNK,1.12.1989,0.02
DNK,1.3.1990,0.009
DNK,1.6.1990,-0.004
DNK,1.9.1990,-0.018
DNK,1.12.1990,-0.031
DNK,1.3.1991,-0.042
DNK,1.6.1991,-0.05
DNK,1.9.1991,-0.055
DNK,1.12.1991,-0.057
DNK,1.3.1992,-0.054
DNK,1.6.1992,-0.049
DNK,1.9.1992,-0.041
DNK,1.12.1992,-0.032
DNK,1.3.1993,-0.023
DNK,1.6.1993,-0.015
DNK,1.9.1993,-0.008
DNK,1.12.1993,-0.003
DNK,1.3.1994,0
DNK,1.6.1994,0.002
DNK,1.9.1994,0.003
DNK,1.12.1994,0.005
DNK,1.3.1995,0.009
DNK,1.6.1995,0.014
DNK,1.9.1995,0.02
DNK,1.12.1995,0.028
DNK,1.3.1996,0.036
DNK,1.6.1996,0.043
DNK,1.9.1996,0.049
DNK,1.12.1996,0.051
DNK,1.3.1997,0.05
DNK,1.6.1997,0.045
DNK,1.9.1997,0.038
DNK,1.12.1997,0.029
DNK,1.3.1998,0.02
DNK,1.6.1998,0.012
DNK,1.9.1998,0.006
DNK,1.12.1998,0.003
DNK,1.3.1999,0.002
DNK,1.6.1999,0.003
DNK,1.9.1999,0.003
DNK,1.12.1999,0.003
DNK,1.3.2000,0.001
DNK,1.6.2000,-0.005
DNK,1.9.2000,-0.014
DNK,1.12.2000,-0.026
DNK,1.3.2001,-0.04
DNK,1.6.2001,-0.055
DNK,1.9.2001,-0.068
DNK,1.12.2001,-0.078
DNK,1.3.2002,-0.083
DNK,1.6.2002,-0.083
DNK,1.9.2002,-0.076
DNK,1.12.2002,-0.064
DNK,1.3.2003,-0.046
DNK,1.6.2003,-0.025
DNK,1.9.2003,-0.002
DNK,1.12.2003,0.021
DNK,1.3.2004,0.044
DNK,1.6.2004,0.064
DNK,1.9.2004,0.082
DNK,1.12.2004,0.096
DNK,1.3.2005,0.107
DNK,1.6.2005,0.113
DNK,1.9.2005,0.113
DNK,1.12.2005,0.109
DNK,1.3.2006,0.098
DNK,1.6.2006,0.083
DNK,1.9.2006,0.062
DNK,1.12.2006,0.036
DNK,1.3.2007,0.008
DNK,1.6.2007,-0.021
DNK,1.9.2007,-0.049
DNK,1.12.2007,-0.072
DNK,1.3.2008,-0.089
DNK,1.6.2008,-0.099
DNK,1.9.2008,-0.102
DNK,1.12.2008,-0.096
DNK,1.3.2009,-0.085
DNK,1.6.2009,-0.068
DNK,1.9.2009,-0.05
DNK,1.12.2009,-0.033
DNK,1.3.2010,-0.019
DNK,1.6.2010,-0.008
DNK,1.9.2010,-0.002
DNK,1.12.2010,0
DNK,1.3.2011,-0.002
DNK,1.6.2011,-0.006
DNK,1.9.2011,-0.01
DNK,1.12.2011,-0.012
DNK,1.3.2012,-0.011
DNK,1.6.2012,-0.008
DNK,1.9.2012,-0.002
DNK,1.12.2012,0.007
DNK,1.3.2013,0.018
DNK,1.6.2013,0.029
DNK,1.9.2013,0.039
DNK,1.12.2013,0.047
DNK,1.3.2014,0.052
DNK,1.6.2014,0.053
DNK,1.9.2014,0.05
DNK,1.12.2014,0.043
DNK,1.3.2015,0.033
DNK,1.6.2015,0.021
DNK,1.9.2015,0.007
DNK,1.12.2015,-0.007
DNK,1.3.2016,-0.02
DNK,1.6.2016,-0.031
DNK,1.9.2016,-0.039
DNK,1.12.2016,-0.043
ESP,1.6.1985,0.016
ESP,1.9.1985,0.02
ESP,1.12.1985,0.026
ESP,1.3.1986,0.034
ESP,1.6.1986,0.042
ESP,1.9.1986,0.05
ESP,1.12.1986,0.055
ESP,1.3.1987,0.057
ESP,1.6.1987,0.055
ESP,1.9.1987,0.05
ESP,1.12.1987,0.041
ESP,1.3.1988,0.031
ESP,1.6.1988,0.02
ESP,1.9.1988,0.008
ESP,1.12.1988,-0.003
ESP,1.3.1989,-0.013
ESP,1.6.1989,-0.021
ESP,1.9.1989,-0.028
ESP,1.12.1989,-0.034
ESP,1.3.1990,-0.04
ESP,1.6.1990,-0.044
ESP,1.9.1990,-0.048
ESP,1.12.1990,-0.052
ESP,1.3.1991,-0.054
ESP,1.6.1991,-0.054
ESP,1.9.1991,-0.054
ESP,1.12.1991,-0.051
ESP,1.3.1992,-0.047
ESP,1.6.1992,-0.042
ESP,1.9.1992,-0.036
ESP,1.12.1992,-0.03
ESP,1.3.1993,-0.026
ESP,1.6.1993,-0.022
ESP,1.9.1993,-0.021
ESP,1.12.1993,-0.021
ESP,1.3.1994,-0.023
ESP,1.6.1994,-0.025
ESP,1.9.1994,-0.028
ESP,1.12.1994,-0.028
ESP,1.3.1995,-0.027
ESP,1.6.1995,-0.022
ESP,1.9.1995,-0.014
ESP,1.12.1995,-0.003
ESP,1.3.1996,0.01
ESP,1.6.1996,0.025
ESP,1.9.1996,0.039
ESP,1.12.1996,0.053
ESP,1.3.1997,0.064
ESP,1.6.1997,0.072
ESP,1.9.1997,0.076
ESP,1.12.1997,0.076
ESP,1.3.1998,0.073
ESP,1.6.1998,0.066
ESP,1.9.1998,0.057
ESP,1.12.1998,0.045
ESP,1.3.1999,0.033
ESP,1.6.1999,0.02
ESP,1.9.1999,0.006
ESP,1.12.1999,-0.007
ESP,1.3.2000,-0.021
ESP,1.6.2000,-0.033
ESP,1.9.2000,-0.045
ESP,1.12.2000,-0.055
ESP,1.3.2001,-0.064
ESP,1.6.2001,-0.069
ESP,1.9.2001,-0.072
ESP,1.12.2001,-0.071
ESP,1.3.2002,-0.066
ESP,1.6.2002,-0.058
ESP,1.9.2002,-0.048
ESP,1.12.2002,-0.036
ESP,1.3.2003,-0.022
ESP,1.6.2003,-0.008
ESP,1.9.2003,0.007
ESP,1.12.2003,0.02
ESP,1.3.2004,0.033
ESP,1.6.2004,0.045
ESP,1.9.2004,0.056
ESP,1.12.2004,0.067
ESP,1.3.2005,0.076
ESP,1.6.2005,0.083
ESP,1.9.2005,0.088
ESP,1.12.2005,0.089
ESP,1.3.2006,0.087
ESP,1.6.2006,0.08
ESP,1.9.2006,0.068
ESP,1.12.2006,0.052
ESP,1.3.2007,0.032
ESP,1.6.2007,0.011
ESP,1.9.2007,-0.011
ESP,1.12.2007,-0.029
ESP,1.3.2008,-0.044
ESP,1.6.2008,-0.054
ESP,1.9.2008,-0.059
ESP,1.12.2008,-0.058
ESP,1.3.2009,-0.053
ESP,1.6.2009,-0.045
ESP,1.9.2009,-0.037
ESP,1.12.2009,-0.031
ESP,1.3.2010,-0.029
ESP,1.6.2010,-0.03
ESP,1.9.2010,-0.034
ESP,1.12.2010,-0.041
ESP,1.3.2011,-0.05
ESP,1.6.2011,-0.059
ESP,1.9.2011,-0.065
ESP,1.12.2011,-0.067
ESP,1.3.2012,-0.063
ESP,1.6.2012,-0.053
ESP,1.9.2012,-0.039
ESP,1.12.2012,-0.022
ESP,1.3.2013,-0.002
ESP,1.6.2013,0.017
ESP,1.9.2013,0.034
ESP,1.12.2013,0.048
ESP,1.3.2014,0.056
